code,description
M7605,"Gluteal tendinitis, pelvic region and thigh"
M761,Psoas tendinitis
M7615,"Psoas tendinitis, pelvic region and thigh"
M762,Iliac crest spur
M7625,"Iliac crest spur, pelvic region and thigh"
M763,Iliotibial band syndrome
M7635,"Iliotibial band syndrome, pelvic region and thigh"
M7636,"Iliotibial band syndrome, lower leg"
M764,Tibial collateral bursitis [Pellegrini-Stieda]
M7646,"Tibial collateral bursitis [Pellegrini-Stieda], lower leg"
M765,Patellar tendinitis
M7656,"Patellar tendinitis, lower leg"
M766,Achilles tendinitis
M7667,"Achilles tendinitis, ankle and foot"
M767,Peroneal tendinitis
M7676,"Peroneal tendinitis, lower leg"
M768,"Other enthesopathies of lower limb, excluding foot"
M7680,"Other enthesopathies of lower limb, excluding foot, multiple sites"
M7685,"Other enthesopathies of lower limb, excluding foot, pelvic region and thigh"
M7686,"Other enthesopathies of lower limb, excluding foot, lower leg"
M7687,"Other enthesopathies of lower limb, excluding foot, ankle"
M7689,"Other enthesopathies of lower limb, excluding foot, site unspecified"
M769,"Enthesopathy of lower limb, unspecified"
M7690,"Enthesopathy of lower limb, unspecified, multiple sites"
M7695,"Enthesopathy of lower limb, unspecified, pelvic region and thigh"
M7696,"Enthesopathy of lower limb, unspecified, lower leg"
M7697,"Enthesopathy of lower limb, unspecified, ankle and foot"
M7699,"Enthesopathy of lower limb, unspecified, site unspecified"
M77,Other enthesopathies
M770,Medial epicondylitis
M7702,"Medial epicondylitis, upper arm"
M771,Lateral epicondylitis
M7712,"Lateral epicondylitis, upper arm"
M772,Periarthritis of wrist
M7723,"Periarthritis of wrist, forearm"
M7724,"Periarthritis of wrist, hand"
M773,Calcaneal spur
M7737,"Calcaneal spur, ankle and foot"
M774,Metatarsalgia
M7747,"Metatarsalgia, ankle and foot"
M775,Other enthesopathy of foot
M7757,"Other enthesopathy of foot, ankle and foot"
M778,"Other enthesopathies, not elsewhere classified"
M7780,"Other enthesopathies, not elsewhere classified, multiple sites"
M7781,"Other enthesopathies, not elsewhere classified, shoulder region"
M7782,"Other enthesopathies, not elsewhere classified, upper arm"
M7783,"Other enthesopathies, not elsewhere classified, forearm"
M7784,"Other enthesopathies, not elsewhere classified, hand"
M7785,"Other enthesopathies, not elsewhere classified, pelvic region and thigh"
M7786,"Other enthesopathies, not elsewhere classified, lower leg"
M7787,"Other enthesopathies, not elsewhere classified, ankle and foot"
M7788,"Other enthesopathies, not elsewhere classified, other site"
M7789,"Other enthesopathies, not elsewhere classified, site unspecified"
M779,"Enthesopathy, unspecified"
M7790,"Enthesopathy, unspecified, multiple sites"
M7791,"Enthesopathy, unspecified, shoulder region"
M7792,"Enthesopathy, unspecified, upper arm"
M7793,"Enthesopathy, unspecified, forearm"
M7794,"Enthesopathy, unspecified, hand"
M7795,"Enthesopathy, unspecified, pelvic region and thigh"
M7796,"Enthesopathy, unspecified, lower leg"
M7797,"Enthesopathy, unspecified, ankle and foot"
M7798,"Enthesopathy, unspecified, other site"
M7799,"Enthesopathy, unspecified, site unspecified"
M79,"Other soft tissue disorders, not elsewhere classified"
M790,"Rheumatism, unspecified"
M7900,"Rheumatism, unspecified, multiple sites"
M7901,"Rheumatism, unspecified, shoulder region"
M7902,"Rheumatism, unspecified, upper arm"
M7903,"Rheumatism, unspecified, forearm"
M7904,"Rheumatism, unspecified, hand"
M7905,"Rheumatism, unspecified, pelvic region and thigh"
M7906,"Rheumatism, unspecified, lower leg"
M7907,"Rheumatism, unspecified, ankle and foot"
M7908,"Rheumatism, unspecified, other site"
M7909,"Rheumatism, unspecified, site unspecified"
M791,Myalgia
M7910,"Myalgia, multiple sites"
M7911,"Myalgia, shoulder region"
M7912,"Myalgia, upper arm"
M7913,"Myalgia, forearm"
M7914,"Myalgia, hand"
M7915,"Myalgia, pelvic region and thigh"
M7916,"Myalgia, lower leg"
M7917,"Myalgia, ankle and foot"
M7918,"Myalgia, other site"
M7919,"Myalgia, site unspecified"
M792,"Neuralgia and neuritis, unspecified"
M7920,"Neuralgia and neuritis, unspecified, multiple sites"
M7921,"Neuralgia and neuritis, unspecified, shoulder region"
M7922,"Neuralgia and neuritis, unspecified, upper arm"
M7923,"Neuralgia and neuritis, unspecified, forearm"
M7924,"Neuralgia and neuritis, unspecified, hand"
M7925,"Neuralgia and neuritis, unspecified, pelvic region and thigh"
M7926,"Neuralgia and neuritis, unspecified, lower leg"
M7927,"Neuralgia and neuritis, unspecified, ankle and foot"
M7928,"Neuralgia and neuritis, unspecified, other site"
M7929,"Neuralgia and neuritis, unspecified, site unspecified"
M793,"Panniculitis, unspecified"
M7930,"Panniculitis, unspecified, multiple sites"
M7931,"Panniculitis, unspecified, shoulder region"
M7932,"Panniculitis, unspecified, upper arm"
M7933,"Panniculitis, unspecified, forearm"
M7934,"Panniculitis, unspecified, hand"
M7935,"Panniculitis, unspecified, pelvic region and thigh"
M7936,"Panniculitis, unspecified, lower leg"
M7937,"Panniculitis, unspecified, ankle and foot"
M7938,"Panniculitis, unspecified, other site"
M7939,"Panniculitis, unspecified, site unspecified"
M794,Hypertrophy of (infrapatellar) fat pad
M7946,"Hypertrophy of (infrapatellar) fat pad, lower leg"
M795,Residual foreign body in soft tissue
M7950,"Residual foreign body in soft tissue, multiple sites"
M7951,"Residual foreign body in soft tissue, shoulder region"
M7952,"Residual foreign body in soft tissue, upper arm"
M7953,"Residual foreign body in soft tissue, forearm"
M7954,"Residual foreign body in soft tissue, hand"
M7955,"Residual foreign body in soft tissue, pelvic region and thigh"
M7956,"Residual foreign body in soft tissue, lower leg"
M7957,"Residual foreign body in soft tissue, ankle and foot"
M7958,"Residual foreign body in soft tissue, other site"
M7959,"Residual foreign body in soft tissue, site unspecified"
M796,Pain in limb
M7960,"Pain in limb, multiple sites"
M7961,"Pain in limb, shoulder region"
M7962,"Pain in limb, upper arm"
M7963,"Pain in limb, forearm"
M7964,"Pain in limb, hand"
M7965,"Pain in limb, pelvic region and thigh"
M7966,"Pain in limb, lower leg"
M7967,"Pain in limb, ankle and foot"
M7968,"Pain in limb, other site"
M7969,"Pain in limb, site unspecified"
M797,Fibromyalgia
M7970,"Fibromyalgia, multiple sites"
M7971,"Fibromyalgia, shoulder region"
M7972,"Fibromyalgia, upper arm"
M7973,"Fibromyalgia, forearm"
M7974,"Fibromyalgia, hand"
M7975,"Fibromyalgia, pelvic region and thigh"
M7976,"Fibromyalgia, lower leg"
M7977,"Fibromyalgia, ankle and foot"
M7978,"Fibromyalgia, other site"
M7979,"Fibromyalgia, site unspecified"
M798,Other specified soft tissue disorders
M7980,"Other specified soft tissue disorders, multiple sites"
M7981,"Other specified soft tissue disorders, shoulder region"
M7982,"Other specified soft tissue disorders, upper arm"
M7983,"Other specified soft tissue disorders, forearm"
M7984,"Other specified soft tissue disorders, hand"
M7985,"Other specified soft tissue disorders, pelvic region and thigh"
M7986,"Other specified soft tissue disorders, lower leg"
M7987,"Other specified soft tissue disorders, ankle and foot"
M7988,"Other specified soft tissue disorders, other site"
M7989,"Other specified soft tissue disorders, site unspecified"
M799,"Soft tissue disorder, unspecified"
M7990,"Soft tissue disorder, unspecified, multiple sites"
M7991,"Soft tissue disorder, unspecified, shoulder region"
M7992,"Soft tissue disorder, unspecified, upper arm"
M7993,"Soft tissue disorder, unspecified, forearm"
M7994,"Soft tissue disorder, unspecified, hand"
M7995,"Soft tissue disorder, unspecified, pelvic region and thigh"
M7996,"Soft tissue disorder, unspecified, lower leg"
M7997,"Soft tissue disorder, unspecified, ankle and foot"
M7998,"Soft tissue disorder, unspecified, other site"
M7999,"Soft tissue disorder, unspecified, site unspecified"
M80,Osteoporosis with pathological fracture
M800,Postmenopausal osteoporosis with pathological fracture
M8000,"Postmenopausal osteoporosis with pathological fracture, multiple sites"
M8001,"Postmenopausal osteoporosis with pathological fracture, shoulder region"
M8002,"Postmenopausal osteoporosis with pathological fracture, upper arm"
M8003,"Postmenopausal osteoporosis with pathological fracture, forearm"
M8004,"Postmenopausal osteoporosis with pathological fracture, hand"
M8005,"Postmenopausal osteoporosis with pathological fracture, pelvic region and thigh"
M8006,"Postmenopausal osteoporosis with pathological fracture, lower leg"
M8007,"Postmenopausal osteoporosis with pathological fracture, ankle and foot"
M8008,"Postmenopausal osteoporosis with pathological fracture, other site"
M8009,"Postmenopausal osteoporosis with pathological fracture, site unspecified"
M801,Postoophorectomy osteoporosis with pathological fracture
M8010,"Postoophorectomy osteoporosis with pathological fracture, multiple sites"
M8011,"Postoophorectomy osteoporosis with pathological fracture, shoulder region"
M8012,"Postoophorectomy osteoporosis with pathological fracture, upper arm"
M8013,"Postoophorectomy osteoporosis with pathological fracture, forearm"
M8014,"Postoophorectomy osteoporosis with pathological fracture, hand"
M8015,"Postoophorectomy osteoporosis with pathological fracture, pelvic region and thigh"
M8016,"Postoophorectomy osteoporosis with pathological fracture, lower leg"
M8017,"Postoophorectomy osteoporosis with pathological fracture, ankle and foot"
M8018,"Postoophorectomy osteoporosis with pathological fracture, other site"
M8019,"Postoophorectomy osteoporosis with pathological fracture, site unspecified"
M802,Osteoporosis of disuse with pathological fracture
M8020,"Osteoporosis of disuse with pathological fracture, multiple sites"
M8021,"Osteoporosis of disuse with pathological fracture, shoulder region"
M8022,"Osteoporosis of disuse with pathological fracture, upper arm"
M8023,"Osteoporosis of disuse with pathological fracture, forearm"
M8024,"Osteoporosis of disuse with pathological fracture, hand"
M8025,"Osteoporosis of disuse with pathological fracture, pelvic region and thigh"
M8026,"Osteoporosis of disuse with pathological fracture, lower leg"
M8027,"Osteoporosis of disuse with pathological fracture, ankle and foot"
M8028,"Osteoporosis of disuse with pathological fracture, other site"
M8029,"Osteoporosis of disuse with pathological fracture, site unspecified"
M803,Postsurgical malabsorption osteoporosis with pathological fracture
M8030,"Postsurgical malabsorption osteoporosis with pathological fracture, multiple sites"
M8031,"Postsurgical malabsorption osteoporosis with pathological fracture, shoulder region"
M8032,"Postsurgical malabsorption osteoporosis with pathological fracture, upper arm"
M8033,"Postsurgical malabsorption osteoporosis with pathological fracture, forearm"
M8034,"Postsurgical malabsorption osteoporosis with pathological fracture, hand"
M8035,"Postsurgical malabsorption osteoporosis with pathological fracture, pelvic region and thigh"
M8036,"Postsurgical malabsorption osteoporosis with pathological fracture, lower leg"
M8037,"Postsurgical malabsorption osteoporosis with pathological fracture, ankle and foot"
M8038,"Postsurgical malabsorption osteoporosis with pathological fracture, other site"
M8039,"Postsurgical malabsorption osteoporosis with pathological fracture, site unspecified"
M804,Drug-induced osteoporosis with pathological fracture
M8040,"Drug-induced osteoporosis with pathological fracture, multiple sites"
M8041,"Drug-induced osteoporosis with pathological fracture, shoulder region"
M8042,"Drug-induced osteoporosis with pathological fracture, upper arm"
M8043,"Drug-induced osteoporosis with pathological fracture, forearm"
M8044,"Drug-induced osteoporosis with pathological fracture, hand"
M8045,"Drug-induced osteoporosis with pathological fracture, pelvic region and thigh"
M8046,"Drug-induced osteoporosis with pathological fracture, lower leg"
M8047,"Drug-induced osteoporosis with pathological fracture, ankle and foot"
M8048,"Drug-induced osteoporosis with pathological fracture, other site"
M8049,"Drug-induced osteoporosis with pathological fracture, site unspecified"
M805,Idiopathic osteoporosis with pathological fracture
M8050,"Idiopathic osteoporosis with pathological fracture, multiple sites"
M8051,"Idiopathic osteoporosis with pathological fracture, shoulder region"
M8052,"Idiopathic osteoporosis with pathological fracture, upper arm"
M8053,"Idiopathic osteoporosis with pathological fracture, forearm"
M8054,"Idiopathic osteoporosis with pathological fracture, hand"
M8055,"Idiopathic osteoporosis with pathological fracture, pelvic region and thigh"
M8056,"Idiopathic osteoporosis with pathological fracture, lower leg"
M8057,"Idiopathic osteoporosis with pathological fracture, ankle and foot"
M8058,"Idiopathic osteoporosis with pathological fracture, other site"
M8059,"Idiopathic osteoporosis with pathological fracture, site unspecified"
M808,Other osteoporosis with pathological fracture
M8080,"Other osteoporosis with pathological fracture, multiple sites"
M8081,"Other osteoporosis with pathological fracture, shoulder region"
M8082,"Other osteoporosis with pathological fracture, upper arm"
M8083,"Other osteoporosis with pathological fracture, forearm"
M8084,"Other osteoporosis with pathological fracture, hand"
M8085,"Other osteoporosis with pathological fracture, pelvic region and thigh"
M8086,"Other osteoporosis with pathological fracture, lower leg"
M8087,"Other osteoporosis with pathological fracture, ankle and foot"
M8088,"Other osteoporosis with pathological fracture, other site"
M8089,"Other osteoporosis with pathological fracture, site unspecified"
M809,Unspecified osteoporosis with pathological fracture
M8090,"Unspecified osteoporosis with pathological fracture, multiple sites"
M8091,"Unspecified osteoporosis with pathological fracture, shoulder region"
M8092,"Unspecified osteoporosis with pathological fracture, upper arm"
M8093,"Unspecified osteoporosis with pathological fracture, forearm"
M8094,"Unspecified osteoporosis with pathological fracture, hand"
M8095,"Unspecified osteoporosis with pathological fracture, pelvic region and thigh"
M8096,"Unspecified osteoporosis with pathological fracture, lower leg"
M8097,"Unspecified osteoporosis with pathological fracture, ankle and foot"
M8098,"Unspecified osteoporosis with pathological fracture, other site"
M8099,"Unspecified osteoporosis with pathological fracture, site unspecified"
M81,Osteoporosis without pathological fracture
M810,Postmenopausal osteoporosis
M8100,"Postmenopausal osteoporosis, multiple sites"
M8101,"Postmenopausal osteoporosis, shoulder region"
M8102,"Postmenopausal osteoporosis, upper arm"
M8103,"Postmenopausal osteoporosis, forearm"
M8104,"Postmenopausal osteoporosis, hand"
M8105,"Postmenopausal osteoporosis, pelvic region and thigh"
M8106,"Postmenopausal osteoporosis, lower leg"
M8107,"Postmenopausal osteoporosis, ankle and foot"
M8108,"Postmenopausal osteoporosis, other site"
M8109,"Postmenopausal osteoporosis, site unspecified"
M811,Postoophorectomy osteoporosis
M8110,"Postoophorectomy osteoporosis, multiple sites"
M8111,"Postoophorectomy osteoporosis, shoulder region"
M8112,"Postoophorectomy osteoporosis, upper arm"
M8113,"Postoophorectomy osteoporosis, forearm"
M8114,"Postoophorectomy osteoporosis, hand"
M8115,"Postoophorectomy osteoporosis, pelvic region and thigh"
M8116,"Postoophorectomy osteoporosis, lower leg"
M8117,"Postoophorectomy osteoporosis, ankle and foot"
M8118,"Postoophorectomy osteoporosis, other site"
M8119,"Postoophorectomy osteoporosis, site unspecified"
M812,Osteoporosis of disuse
M8120,"Osteoporosis of disuse, multiple sites"
M8121,"Osteoporosis of disuse, shoulder region"
M8122,"Osteoporosis of disuse, upper arm"
M8123,"Osteoporosis of disuse, forearm"
M8124,"Osteoporosis of disuse, hand"
M8125,"Osteoporosis of disuse, pelvic region and thigh"
M8126,"Osteoporosis of disuse, lower leg"
M8127,"Osteoporosis of disuse, ankle and foot"
M8128,"Osteoporosis of disuse, other site"
M8129,"Osteoporosis of disuse, site unspecified"
M813,Postsurgical malabsorption osteoporosis
M8130,"Postsurgical malabsorption osteoporosis, multiple sites"
M8131,"Postsurgical malabsorption osteoporosis, shoulder region"
M8132,"Postsurgical malabsorption osteoporosis, upper arm"
M8133,"Postsurgical malabsorption osteoporosis, forearm"
M8134,"Postsurgical malabsorption osteoporosis, hand"
M8135,"Postsurgical malabsorption osteoporosis, pelvic region and thigh"
M8136,"Postsurgical malabsorption osteoporosis, lower leg"
M8137,"Postsurgical malabsorption osteoporosis, ankle and foot"
M8138,"Postsurgical malabsorption osteoporosis, other site"
M8139,"Postsurgical malabsorption osteoporosis, site unspecified"
M814,Drug-induced osteoporosis
M8140,"Drug-induced osteoporosis, multiple sites"
M8141,"Drug-induced osteoporosis, shoulder region"
M8142,"Drug-induced osteoporosis, upper arm"
M8143,"Drug-induced osteoporosis, forearm"
M8144,"Drug-induced osteoporosis, hand"
M8145,"Drug-induced osteoporosis, pelvic region and thigh"
M8146,"Drug-induced osteoporosis, lower leg"
M8147,"Drug-induced osteoporosis, ankle and foot"
M8148,"Drug-induced osteoporosis, other site"
M8149,"Drug-induced osteoporosis, site unspecified"
M815,Idiopathic osteoporosis
M8150,"Idiopathic osteoporosis, multiple sites"
M8151,"Idiopathic osteoporosis, shoulder region"
M8152,"Idiopathic osteoporosis, upper arm"
M8153,"Idiopathic osteoporosis, forearm"
M8154,"Idiopathic osteoporosis, hand"
M8155,"Idiopathic osteoporosis, pelvic region and thigh"
M8156,"Idiopathic osteoporosis, lower leg"
M8157,"Idiopathic osteoporosis, ankle and foot"
M8158,"Idiopathic osteoporosis, other site"
M8159,"Idiopathic osteoporosis, site unspecified"
M816,Localized osteoporosis [Lequesne]
M8160,"Localized osteoporosis [Lequesne], multiple sites"
M8161,"Localized osteoporosis [Lequesne], shoulder region"
M8162,"Localized osteoporosis [Lequesne], upper arm"
M8163,"Localized osteoporosis [Lequesne], forearm"
M8164,"Localized osteoporosis [Lequesne], hand"
M8165,"Localized osteoporosis [Lequesne], pelvic region and thigh"
M8166,"Localized osteoporosis [Lequesne], lower leg"
M8167,"Localized osteoporosis [Lequesne], ankle and foot"
M8168,"Localized osteoporosis [Lequesne], other site"
M8169,"Localized osteoporosis [Lequesne], site unspecified"
M818,Other osteoporosis
M8180,"Other osteoporosis, multiple sites"
M8181,"Other osteoporosis, shoulder region"
M8182,"Other osteoporosis, upper arm"
M8183,"Other osteoporosis, forearm"
M8184,"Other osteoporosis, hand"
M8185,"Other osteoporosis, pelvic region and thigh"
M8186,"Other osteoporosis, lower leg"
M8187,"Other osteoporosis, ankle and foot"
M8188,"Other osteoporosis, other site"
M8189,"Other osteoporosis, site unspecified"
M819,"Osteoporosis, unspecified"
M8190,"Osteoporosis, unspecified, multiple sites"
M8191,"Osteoporosis, unspecified, shoulder region"
M8192,"Osteoporosis, unspecified, upper arm"
M8193,"Osteoporosis, unspecified, forearm"
M8194,"Osteoporosis, unspecified, hand"
M8195,"Osteoporosis, unspecified, pelvic region and thigh"
M8196,"Osteoporosis, unspecified, lower leg"
M8197,"Osteoporosis, unspecified, ankle and foot"
M8198,"Osteoporosis, unspecified, other site"
M8199,"Osteoporosis, unspecified, site unspecified"
M82,Osteoporosis in diseases classified elsewhere
M820,Osteoporosis in multiple myelomatosis (C90.0+)
M8200,"Osteoporosis in multiple myelomatosis (C90.0+), multiple sites"
M8201,"Osteoporosis in multiple myelomatosis (C90.0+), shoulder region"
M8202,"Osteoporosis in multiple myelomatosis (C90.0+), upper arm"
M8203,"Osteoporosis in multiple myelomatosis (C90.0+), forearm"
M8204,"Osteoporosis in multiple myelomatosis (C90.0+), hand"
M8205,"Osteoporosis in multiple myelomatosis (C90.0+), pelvic region and thigh"
M8206,"Osteoporosis in multiple myelomatosis (C90.0+), lower leg"
M8207,"Osteoporosis in multiple myelomatosis (C90.0+), ankle and foot"
M8208,"Osteoporosis in multiple myelomatosis (C90.0+), other site"
M8209,"Osteoporosis in multiple myelomatosis (C90.0+), site unspecified"
M821,Osteoporosis in endocrine disorders (E00-E34+)
M8210,"Osteoporosis in endocrine disorders (E00-E34+), multiple sites"
M8211,"Osteoporosis in endocrine disorders (E00-E34+), shoulder region"
M8212,"Osteoporosis in endocrine disorders (E00-E34+), upper arm"
M8213,"Osteoporosis in endocrine disorders (E00-E34+), forearm"
M8214,"Osteoporosis in endocrine disorders (E00-E34+), hand"
M8215,"Osteoporosis in endocrine disorders (E00-E34+), pelvic region and thigh"
M8216,"Osteoporosis in endocrine disorders (E00-E34+), lower leg"
M8217,"Osteoporosis in endocrine disorders (E00-E34+), ankle and foot"
M8218,"Osteoporosis in endocrine disorders (E00-E34+), other site"
M8219,"Osteoporosis in endocrine disorders (E00-E34+), site unspecified"
M828,Osteoporosis in other diseases classified elsewhere
M8280,"Osteoporosis in other diseases classified elsewhere, multiple sites"
M8281,"Osteoporosis in other diseases classified elsewhere, shoulder region"
M8282,"Osteoporosis in other diseases classified elsewhere, upper arm"
M8283,"Osteoporosis in other diseases classified elsewhere, forearm"
M8284,"Osteoporosis in other diseases classified elsewhere, hand"
M8285,"Osteoporosis in other diseases classified elsewhere, pelvic region and thigh"
M8286,"Osteoporosis in other diseases classified elsewhere, lower leg"
M8287,"Osteoporosis in other diseases classified elsewhere, ankle and foot"
M8288,"Osteoporosis in other diseases classified elsewhere, other site"
M8289,"Osteoporosis in other diseases classified elsewhere, site unspecified"
M83,Adult osteomalacia
M830,Puerperal osteomalacia
M8300,"Puerperal osteomalacia, multiple sites"
M8301,"Puerperal osteomalacia, shoulder region"
M8302,"Puerperal osteomalacia, upper arm"
M8303,"Puerperal osteomalacia, forearm"
M8304,"Puerperal osteomalacia, hand"
M8305,"Puerperal osteomalacia, pelvic region and thigh"
M8306,"Puerperal osteomalacia, lower leg"
M8307,"Puerperal osteomalacia, ankle and foot"
M8308,"Puerperal osteomalacia, other site"
M8309,"Puerperal osteomalacia, site unspecified"
M831,Senile osteomalacia
M8310,"Senile osteomalacia, multiple sites"
M8311,"Senile osteomalacia, shoulder region"
M8312,"Senile osteomalacia, upper arm"
M8313,"Senile osteomalacia, forearm"
M8314,"Senile osteomalacia, hand"
M8315,"Senile osteomalacia, pelvic region and thigh"
M8316,"Senile osteomalacia, lower leg"
M8317,"Senile osteomalacia, ankle and foot"
M8318,"Senile osteomalacia, other site"
M8319,"Senile osteomalacia, site unspecified"
M832,Adult osteomalacia due to malabsorption
M8320,"Adult osteomalacia due to malabsorption, multiple sites"
M8321,"Adult osteomalacia due to malabsorption, shoulder region"
M8322,"Adult osteomalacia due to malabsorption, upper arm"
M8323,"Adult osteomalacia due to malabsorption, forearm"
M8324,"Adult osteomalacia due to malabsorption, hand"
M8325,"Adult osteomalacia due to malabsorption, pelvic region and thigh"
M8326,"Adult osteomalacia due to malabsorption, lower leg"
M8327,"Adult osteomalacia due to malabsorption, ankle and foot"
M8328,"Adult osteomalacia due to malabsorption, other site"
M8329,"Adult osteomalacia due to malabsorption, site unspecified"
M833,Adult osteomalacia due to malnutrition
M8330,"Adult osteomalacia due to malnutrition, multiple sites"
M8331,"Adult osteomalacia due to malnutrition, shoulder region"
M8332,"Adult osteomalacia due to malnutrition, upper arm"
M8333,"Adult osteomalacia due to malnutrition, forearm"
M8334,"Adult osteomalacia due to malnutrition, hand"
M8335,"Adult osteomalacia due to malnutrition, pelvic region and thigh"
M8336,"Adult osteomalacia due to malnutrition, lower leg"
M8337,"Adult osteomalacia due to malnutrition, ankle and foot"
M8338,"Adult osteomalacia due to malnutrition, other site"
M8339,"Adult osteomalacia due to malnutrition, site unspecified"
M834,Aluminium bone disease
M8340,"Aluminium bone disease, multiple sites"
M8341,"Aluminium bone disease, shoulder region"
M8342,"Aluminium bone disease, upper arm"
M8343,"Aluminium bone disease, forearm"
M8344,"Aluminium bone disease, hand"
M8345,"Aluminium bone disease, pelvic region and thigh"
M8346,"Aluminium bone disease, lower leg"
M8347,"Aluminium bone disease, ankle and foot"
M8348,"Aluminium bone disease, other site"
M8349,"Aluminium bone disease, site unspecified"
M835,Other drug-induced osteomalacia in adults
M8350,"Other drug-induced osteomalacia in adults, multiple sites"
M8351,"Other drug-induced osteomalacia in adults, shoulder region"
M8352,"Other drug-induced osteomalacia in adults, upper arm"
M8353,"Other drug-induced osteomalacia in adults, forearm"
M8354,"Other drug-induced osteomalacia in adults, hand"
M8355,"Other drug-induced osteomalacia in adults, pelvic region and thigh"
M8356,"Other drug-induced osteomalacia in adults, lower leg"
M8357,"Other drug-induced osteomalacia in adults, ankle and foot"
M8358,"Other drug-induced osteomalacia in adults, other site"
M8359,"Other drug-induced osteomalacia in adults, site unspecified"
M838,Other adult osteomalacia
M8380,"Other adult osteomalacia, multiple sites"
M8381,"Other adult osteomalacia, shoulder region"
M8382,"Other adult osteomalacia, upper arm"
M8383,"Other adult osteomalacia, forearm"
M8384,"Other adult osteomalacia, hand"
M8385,"Other adult osteomalacia, pelvic region and thigh"
M8386,"Other adult osteomalacia, lower leg"
M8387,"Other adult osteomalacia, ankle and foot"
M8388,"Other adult osteomalacia, other site"
M8389,"Other adult osteomalacia, site unspecified"
M839,"Adult osteomalacia, unspecified"
M8390,"Adult osteomalacia, unspecified, multiple sites"
M8391,"Adult osteomalacia, unspecified, shoulder region"
M8392,"Adult osteomalacia, unspecified, upper arm"
M8393,"Adult osteomalacia, unspecified, forearm"
M8394,"Adult osteomalacia, unspecified, hand"
M8395,"Adult osteomalacia, unspecified, pelvic region and thigh"
M8396,"Adult osteomalacia, unspecified, lower leg"
M8397,"Adult osteomalacia, unspecified, ankle and foot"
M8398,"Adult osteomalacia, unspecified, other site"
M8399,"Adult osteomalacia, unspecified, site unspecified"
M84,Disorders of continuity of bone
M840,Malunion of fracture
M8400,"Malunion of fracture, multiple sites"
M8401,"Malunion of fracture, shoulder region"
M8402,"Malunion of fracture, upper arm"
M8403,"Malunion of fracture, forearm"
M8404,"Malunion of fracture, hand"
M8405,"Malunion of fracture, pelvic region and thigh"
M8406,"Malunion of fracture, lower leg"
M8407,"Malunion of fracture, ankle and foot"
M8408,"Malunion of fracture, other site"
M8409,"Malunion of fracture, site unspecified"
M841,Nonunion of fracture [pseudarthrosis]
M8410,"Nonunion of fracture [pseudarthrosis], multiple sites"
M8411,"Nonunion of fracture [pseudarthrosis], shoulder region"
M8412,"Nonunion of fracture [pseudarthrosis], upper arm"
M8413,"Nonunion of fracture [pseudarthrosis], forearm"
M8414,"Nonunion of fracture [pseudarthrosis], hand"
M8415,"Nonunion of fracture [pseudarthrosis], pelvic region and thigh"
M8416,"Nonunion of fracture [pseudarthrosis], lower leg"
M8417,"Nonunion of fracture [pseudarthrosis], ankle and foot"
M8418,"Nonunion of fracture [pseudarthrosis], other site"
M8419,"Nonunion of fracture [pseudarthrosis], site unspecified"
M842,Delayed union of fracture
M8420,"Delayed union of fracture, multiple sites"
M8421,"Delayed union of fracture, shoulder region"
M8422,"Delayed union of fracture, upper arm"
M8423,"Delayed union of fracture, forearm"
M8424,"Delayed union of fracture, hand"
M8425,"Delayed union of fracture, pelvic region and thigh"
M8426,"Delayed union of fracture, lower leg"
M8427,"Delayed union of fracture, ankle and foot"
M8428,"Delayed union of fracture, other site"
M8429,"Delayed union of fracture, site unspecified"
M843,"Stress fracture, not elsewhere classified"
M8430,"Stress fracture, not elsewhere classified, multiple sites"
M8431,"Stress fracture, not elsewhere classified, shoulder region"
M8432,"Stress fracture, not elsewhere classified, upper arm"
M8433,"Stress fracture, not elsewhere classified, forearm"
M8434,"Stress fracture, not elsewhere classified, hand"
M8435,"Stress fracture, not elsewhere classified, pelvic region and thigh"
M8436,"Stress fracture, not elsewhere classified, lower leg"
M8437,"Stress fracture, not elsewhere classified, ankle and foot"
M8438,"Stress fracture, not elsewhere classified, other site"
M8439,"Stress fracture, not elsewhere classified, site not elsewhere classified"
M844,"Pathological fracture, not elsewhere classified"
M8440,"Pathological fracture, not elsewhere classified, multiple sites"
M8441,"Pathological fracture, not elsewhere classified, shoulder region"
M8442,"Pathological fracture, not elsewhere classified, upper arm"
M8443,"Pathological fracture, not elsewhere classified, forearm"
M8444,"Pathological fracture, not elsewhere classified, hand"
M8445,"Pathological fracture, not elsewhere classified, pelvic region and thigh"
M8446,"Pathological fracture, not elsewhere classified, lower leg"
M8447,"Pathological fracture, not elsewhere classified, ankle and foot"
M8448,"Pathological fracture, not elsewhere classified, other site"
M8449,"Pathological fracture, not elsewhere classified, site unspecified"
M848,Other disorders of continuity of bone
M8480,"Other disorders of continuity of bone, multiple sites"
M8481,"Other disorders of continuity of bone, shoulder region"
M8482,"Other disorders of continuity of bone, upper arm"
M8483,"Other disorders of continuity of bone, forearm"
M8484,"Other disorders of continuity of bone, hand"
M8485,"Other disorders of continuity of bone, pelvic region and thigh"
M8486,"Other disorders of continuity of bone, lower leg"
M8487,"Other disorders of continuity of bone, ankle and foot"
M8488,"Other disorders of continuity of bone, other site"
M8489,"Other disorders of continuity of bone, site unspecified"
M849,"Disorder of continuity of bone, unspecified"
M8490,"Disorder of continuity of bone, unspecified, multiple sites"
